"s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79"
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151076.442339672,148169.164262191,145024.224421711,142617.617471461,140561.820176384,138714.402007339,137052.505807998,135555.339323231,134231.280732386,132820.819677291,131525.369972505,130355.356550755,129802.090755167,129218.277100663,128729.942516365,128378.070634025,127970.008326967,127564.765346202,127207.57375872,126935.945996435,126731.136449085,126323.139553799,126147.803410527,126087.989825298,126048.832931012,126020.738453649,125957.626471142,125889.122704353,125824.301616699,125750.433407564,125577.786500459,125372.063171216,125190.836286067,125041.527041495,124931.161477604,124834.174922817,124755.115824789,124693.806752232,124677.412216799,124638.696703771,124606.242994347,124567.04751178,124490.148022285,124406.419122796,124341.418514875,124315.717650457,124315.124169343,124274.241046414,124250.569497172,124237.63454001,124327.895260981,124399.499216579,124470.760699964,124566.679514189,124661.592658049,124746.147626336,124828.847371266,124911.896529474,124987.687315997,125073.721429663,125155.511348717,125234.57014906,125304.582497243,125372.123720069,125429.052400058,125482.174624606,125527.69856216,125569.408481367,125610.925618904,125642.196198033,125664.151092681,125686.184124739,125705.145929755,125721.253941543,125732.582035515
166716.642886898,177171.359098067,187267.097885116,196966.021238942,206240.027666028,215365.082504692,224505.835769868,233786.059417929,241406.857104595,248274.889363981,254703.60897281,260700.240220947,266292.938269155,271635.96936836,276404.245852391,280797.312711986,284858.391089498,289799.846459146,295661.372400974,301169.691625418,305909.962424303,310016.804745173,313756.189634956,317199.659648727,320635.251921378,325048.952570893,328481.690916301,331991.124640662,335347.309287471,338471.785220852,341692.98226152,345520.762667226,348475.057516091,351187.482681294,353581.199349566,355597.975012438,357287.791656015,359031.127604867,360557.175922046,362344.088612244,364289.089488761,366095.875685845,367808.812316401,369777.70470149,371553.940766625,373199.367813233,374847.157643261,376267.631735221,377527.093654123,378688.96788668,379923.340638253,381086.467884357,382260.519181799,383468.935828271,384634.188830298,385954.386848082,387262.845941161,388505.94242569,389808.879874173,390862.703285708,391856.908061977,392874.317122992,393780.852525967,394643.573760835,395377.233472658,396064.898550132,396699.242778554,397262.855889753,397781.048362164,398244.498390813,398670.775508243,399032.325394576,399374.736216058,399721.412935527,400020.124762255,400261.93205335,400471.749159254,400685.303308699,400894.953134245,401068.259333729
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,150907.822237166,147592.161704323,144139.952971785,141141.916185021,138492.505432096,136121.754943679,133995.509792053,132088.531817462,130358.293391679,128507.823369827,126819.627408161,125299.460100026,124307.893777345,123345.959718748,122526.011114671,121878.501286301,121216.252190452,120584.657673331,120022.326228695,119564.215430343,119212.039661321,119187.76079836,119236.9965775,119385.339739158,119548.848620442,119657.084048522,119678.071170136,119957.93399619,120470.377232313,121018.934580591,121556.306489234,121995.836297247,122352.955259992,122712.931769782,123042.11476613,123294.617293621,123553.55156013,123791.120684789,123981.145654192,124167.82982214,124341.178581952,124510.872773144,124684.123325392,124816.396528206,124928.155860942,125065.054525403,125192.101725929,125314.699125543,125442.845308025,125578.796972311,125810.064090265,125993.030477023,126174.225739878,126417.537590284,126702.562418182,126950.201962613,127179.690126647,127384.530933954,127578.796784608,127753.09099259,127917.246700262,128067.351756275,128194.501519478,128313.678956365,128425.235730026,128528.517797936,128613.90322726,128703.701172667,128778.238291012,128845.358303245,128894.538966016,128949.830174975,128992.809278421,129048.028675775,129087.157605814
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,180083.399578849,181344.288034188,184430.241864284,188297.767361329,192077.089158856,195586.514436172,198839.669107003,201851.22213845,204319.669368766,207006.371480886,209535.753889095,211866.009742202,212907.794856556,213955.914379114,214882.502448667,215684.12695772,216450.495532934,217130.717796635,217767.014020037,218482.232288655,219274.07599923,220029.445279312,221100.568017481,222275.442658934,223367.70359074,224370.809030735,225363.537997044,226149.595474917,226823.428427063,227397.936206563,227942.142387296,228537.854792649,229135.786339027,229684.488047319,230217.043693087,230715.839969815,231168.201996377,231521.600929553,231858.134900396,232173.11946722,232468.018500326,232750.230887617,232991.407740657,233160.721747748,233295.590208739,233500.056706479,233681.367753725,233825.664479524,233979.406285991,234182.334090751,234360.121881802,234473.799757074,234593.529065303,234792.614695412,234914.098379419,235034.232958248,235162.901521288,235275.595396591,235382.225476292,235405.069242665,235439.756768565,235476.470435978,235510.299593451,235545.176101676,235581.81801939,235615.501814284,235652.923790288,235698.758541015,235746.918194483,235788.267096328,235815.559253098,235841.879632545,235867.279526267,235902.976752779,235927.303738819
166716.642886898,166369.825790127,166054.447189359,165767.606522795,165506.679426895,164923.357781932,163849.649226763,161711.912001025,160566.715064119,159731.932824262,158975.325029907,158289.065135604,157666.335489346,157330.835437698,156384.405660574,155460.92168356,154626.232532973,154072.687472969,153775.519514798,153614.844695048,153532.878466024,153507.577365075,153511.815932894,153503.617720238,153522.685006507,153515.697571861,153375.520474532,153324.315181228,153236.66409433,153147.420438364,153015.921656707,152801.257468105,152827.57685897,153008.210805694,153234.912579771,153404.247360289,153604.935016875,153707.584407548,153837.317361708,153908.148076695,153903.970391908,153913.011029228,153879.030883608,153781.524297456,153713.84890023,153650.475677133,153611.07688588,153820.151719961,154081.437737461,154306.186103969,154564.720631025,154763.662447284,154935.502420801,155034.025093124,155107.135836666,155206.122337879,155260.273938388,155247.263349724,155231.800053108,155185.17737289,155149.124793573,155103.507747821,155071.077801234,155033.481698192,154991.831596196,154946.719465372,154908.915337262,154880.873145471,154854.704165363,154836.307794441,154820.613525801,154814.672184166,154798.469513774,154790.825548232,154777.601528743,154766.749188914,154744.50339282,154734.304862882,154714.796131935,154705.156357914
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,179080.663060667,177840.713760128,176989.476870267,175366.50591584,173698.119818882,172192.194013575,170820.557080636,169591.12608015,166708.875878198,164315.249553181,162265.156400597,160419.262652518,158540.664197345,156562.760576215,154904.975563775,153537.93630781,152267.836395725,151110.990192017,150060.074912634,149099.946949907,147971.363067295,147163.692435492,146546.327468145,146133.613683532,145910.888070075,145610.855428031,145388.260120152,145107.696503382,144922.058151495,144625.046314329,144124.223443182,143569.97358225,142981.411024648,142528.823032208,142082.377668627,141629.847848786,141264.522939768,140928.380069975,140686.276422494,140468.190680402,140272.601029241,140126.303803236,139858.429071552,139703.981210145,139543.738237731,139350.876404356,139130.239410229,138923.457184056,138689.679142361,138463.514017657,138099.599478224,137801.33570438,137514.925896889,137251.453894916,137018.807908294,136810.170645005,136580.709482271,136414.61918953,136262.844304481,136148.675661686,136032.617776098,135910.880641347,135816.37762074,135724.299559136,135629.458217202,135542.015821666,135481.029944625,135406.573501532,135344.096222876,135304.256397601,135295.958172933,135282.837717674,135268.083937668,135241.827474761,135231.544485779
166716.642886898,166369.825790127,166054.447189359,165767.606522795,165506.679426895,164565.463325624,162610.696791152,161502.307947254,160462.393339893,159495.347085923,158619.258074977,157821.226858971,157101.552549586,156949.720655552,156238.438859243,155546.017762078,154918.463894421,154457.737739152,154286.302190609,154188.967275826,154132.416775023,154087.017960539,154056.441139351,154018.680969899,153975.446950461,153818.657519392,154362.876470998,155256.597110971,156132.959462851,156883.110516864,157531.392159184,158143.337525733,158412.143884672,158650.491876195,158987.569718824,159321.217299918,159516.754247253,159641.67513067,159781.948500922,159945.510118861,160104.874791378,160273.743694809,160379.03264535,160256.852789234,160173.230691584,160093.306570448,159758.472321373,159356.387389515,159034.047511513,158731.984590815,158460.044432255,158217.680381115,158043.6432041,157925.379981296,157794.890277861,157588.846407812,157452.944826155,157354.33021511,157263.581347342,157160.433719631,157067.829990752,156969.318970213,156901.424144459,156854.323722321,156794.933092834,156738.312709314,156674.479704601,156625.075880282,156534.009592945,156460.791449177,156395.007030235,156341.658131506,156283.963578575,156229.900769458,156183.314740482,156160.856038135,156113.997302912,156088.429398455,156036.184079032,156016.218921916
166716.642886898,159537.185197879,153265.073728311,147765.110643558,142925.779765984,138959.547350191,135918.645618856,134423.530271035,132315.831750504,130230.428096109,128358.304817364,126677.467593108,125163.611341595,123887.427010523,122676.368565715,121574.821627138,120577.84696606,119519.898118986,118456.155697728,117498.899353531,116800.620314711,116148.678231467,115527.87373169,114982.757833032,114548.703960083,114220.047928232,113772.414070745,113052.206387617,112293.426702574,111586.563620787,110960.067269877,110380.82863434,109913.517783515,109434.627970095,109007.089938237,108644.473180171,108285.655626233,107824.279714314,107413.180130273,106870.601070711,106293.598544043,105764.712538402,105338.242678585,105068.622173762,104819.912978964,104610.043164622,104230.812472217,103869.120790773,103519.486257004,103221.05682187,103068.538097314,102932.793145233,102807.680213424,102707.952790685,102642.911913261,102656.498286922,102636.576119486,102630.214181435,102622.365662329,102594.53974033,102576.073718365,102555.332256255,102529.75828169,102508.817634618,102496.551406587,102487.692496955,102474.18720944,102462.389285659,102415.217929834,102377.433637268,102342.802196458,102315.397138666,102282.668097332,102254.247980287,102223.810833984,102203.158466837,102174.278118402,102158.120008937,102133.350477063,102119.307948671
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151174.011771789,148503.772324628,147088.922149266,146321.462832787,145719.11818914,145172.048968868,144676.657851582,144225.460648707,144008.622572937,144503.923143234,145011.891636967,145473.012607325,146089.577755486,146626.763536083,147064.031405879,147469.8989615,147714.669320232,147871.045193213,148040.685522591,148240.477457904,148477.449022274,148652.855283486,148992.201112369,149397.733226098,149723.007363288,150089.461732009,150400.866635073,150870.388067552,151377.469305577,151864.258158203,152239.592146854,152558.893280279,152909.098038392,153249.028928755,153539.73115085,153763.771978466,153971.05910578,154122.474117201,154266.037631374,154395.01925108,154515.895455291,154583.86002841,154693.63541436,154765.463178285,154833.900688334,154824.025356803,154851.553245721,154900.060429482,154927.509899095,154943.2237927,154978.215447118,154990.261195601,154988.051110285,155021.773088194,155028.140613568,155078.913508297,155141.052126409,155195.481399786,155241.168580993,155303.70615051,155367.580847214,155433.504581784,155491.211127569,155548.194943419,155596.755505801,155641.410174551,155687.575224938,155736.388679487,155779.838002857,155813.977150587,155840.955809615,155869.607930808,155896.204449435,155927.358707887,155947.126910914
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151471.062827114,149525.810518141,147111.021675277,145253.230542181,143666.733502763,142236.161590556,140947.28053815,139780.883577659,138733.452129811,137591.240302697,136533.480403621,135577.137097785,134792.213835969,133833.302532823,133016.780612019,132426.431663023,131999.561373088,131642.769942912,131315.053581885,130694.271484819,129460.273413545,128638.529802355,127830.935217659,127065.058068296,126324.410546427,125690.704551705,125068.666583136,123774.593483587,122412.998581203,121151.687075211,120023.270658746,118976.250300775,118026.198756989,117169.19311364,116346.522788038,115568.391806597,114877.536915585,114242.836280894,113606.825264686,113024.183318574,112499.399515036,112038.283404748,111579.009094015,111144.386275796,110751.91832042,110387.320730313,110041.251797399,109735.621576767,109451.732478911,109210.786843446,109030.900703907,108874.41306961,108767.693845585,108846.440999774,109042.467427633,109202.053199896,109361.249721597,109503.474577489,109648.419164668,109770.74422088,109889.628330595,110000.847161795,110088.840219626,110177.083545501,110260.379449263,110338.159066808,110391.846111077,110467.583692824,110520.731294721,110571.76280656,110596.652909862,110646.59716719,110671.226265968,110721.122799114,110742.857138161
166716.642886898,173495.093943811,179911.044053283,185963.379668027,191655.144227776,197739.744560206,204667.164201384,212332.397615844,218797.303777236,224651.518364798,230122.145913928,235223.230534552,239968.977384705,244092.184200469,248190.334268464,251999.937213423,255518.77801021,257846.968678333,259838.415076487,261644.036422529,263269.803780816,264649.235416653,265861.946690875,266993.363979632,268176.928286095,269571.967767311,271555.591327649,273779.423361016,276102.981595706,278238.6711195,280316.773778055,282257.277914969,284543.583783339,286722.405226134,288751.282903181,290601.016109663,292540.1458468,294333.731003957,295969.961817699,297575.70918723,299018.495247746,300334.341740313,301594.028382266,302894.35618857,304095.685771762,305209.12885653,306322.832462855,307274.959681856,308287.524996397,309211.130705103,310217.590417903,311110.982363223,311924.020116029,312674.080380828,313303.756655534,313967.485343976,314353.537056746,314704.986888928,315196.753494131,315592.34201458,315938.530335469,316297.346012498,316618.61088294,316933.867823157,317156.406075153,317385.320992153,317598.633109334,317769.143007043,317949.783634644,318119.092433608,318284.029686869,318417.194368516,318592.220754248,318734.826848751,318866.229613172,318943.589021499,319054.973234688,319135.131912948,319270.944225725,319338.255516095
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,179477.954140156,179223.01985836,177261.525095615,174186.397392576,171174.920706265,168477.078324953,166046.178404973,163871.464690126,160858.633345016,157058.732469405,153617.043303718,150545.499302338,147612.583747935,145210.426708388,143256.796719267,141624.179705354,140304.919331564,139167.187033231,138124.241856099,137264.093438418,136785.502239055,136737.218900548,136830.88102551,136655.352300145,136295.425416344,135973.773085581,135715.767643588,135249.359767357,134801.98884239,134343.660164545,133877.046884595,133611.034522195,133318.523734723,133067.533121495,132669.631862384,132226.860783328,131842.387818572,131572.381048171,131350.603586118,131159.425888719,130988.960357832,130809.727177456,130873.302800213,130926.696238687,130966.005857713,130969.185271357,130880.556723662,130834.878580398,130647.538809917,130451.944106249,130368.558947995,130322.858677643,130284.411886982,130183.674338751,130077.600555814,129991.928500241,129902.806687692,129831.08640509,129771.933801486,129719.724944636,129669.926935298,129623.155923016,129588.206122385,129557.030567141,129527.61501712,129504.456006182,129481.054982484,129459.427910461,129433.95721082,129422.110959884,129417.22045428,129423.735186867,129415.958707885,129415.433055178,129412.156588124
166716.642886898,173495.093943811,179911.044053283,185963.379668027,191655.144227776,196739.940362738,201074.297496292,204341.18354079,208928.520537166,213576.259476498,217901.762375461,221919.261220415,225644.273396041,228962.122229397,232188.447077338,235171.218833205,237922.583024893,239042.223518098,239815.959989417,240571.241065351,241185.250749751,241786.193849671,242346.963307318,242855.936081845,243258.38431558,243369.388522442,243541.544331399,243694.800286981,243946.396325426,244228.770557148,244468.743718312,244605.18724553,244597.836384466,244441.632719817,244314.01133789,244063.080127659,243788.829243936,243508.724891846,243310.006149816,243101.092405457,242833.017712274,242614.199419639,242379.895553738,242108.586063938,241873.781247755,241665.669474474,241474.14582402,241252.098419573,241023.278310636,240798.392792252,240705.632287206,240667.564083878,240605.994413526,240534.586182885,240409.375015613,240345.307488259,240254.294652784,240115.513722515,239990.532388691,239877.594019752,239759.162147727,239641.227287529,239530.579866324,239428.497378743,239328.276777931,239227.274250443,239138.237135723,239058.667987051,238986.111890669,238918.58638073,238856.035078468,238794.15076414,238744.977658364,238689.979531896,238644.475018645,238601.768916335,238572.390123317,238534.130855249,238507.114862413,238482.050536762
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151102.806244918,148259.524455264,146709.889996767,145612.279840904,144664.60433482,143806.115295528,143028.654982847,142323.600666756,141450.088580798,140622.097507734,139876.413757727,139198.965828123,139063.702930671,139498.775297733,139934.033969672,140364.742954341,140841.33842235,141282.439906679,141693.763868126,142107.345517981,142524.30272789,143622.070991784,143938.569283256,143879.932968092,143752.863961051,143716.933438716,143798.360554764,143621.423148334,143361.247110815,143107.287248282,142770.754397112,142565.851522804,142557.308575749,142488.909812781,142477.866445986,142545.58092201,142597.442365279,142626.804217464,142727.468833037,142805.325667387,142880.794924374,142953.205883881,143037.688064148,143095.61780747,143170.015369144,143206.775463332,143231.134504822,143221.914087747,143255.712440619,143293.444174121,143265.296928978,143196.153929894,143120.705153429,143089.48881786,143049.841189903,143023.862801771,143019.03515347,143020.034428354,143042.94465999,143067.965517835,143106.902019914,143148.928936659,143175.761516431,143212.361205754,143252.261421061,143290.298486633,143314.401144608,143361.332571316,143403.737057142,143438.502000646,143445.986917156,143472.380146768,143487.987935698,143531.809670086,143541.75002832
